Time,X1,X2,X3,X4,X5,X6,Label
0,0.8743410706520081,0.2088180035352707,-0.43120625615119934,-13.524415016174316,-11.464598655700684,0.12353546917438507,0
1,0.8949438333511353,0.2088180035352707,-0.42754608392715454,2.0910918712615967,-0.26205751299858093,-0.22933746874332428,0
2,0.8743410706520081,0.23415198922157288,-0.42754608392715454,-1.052601933479309,-0.4990912973880768,-0.7318017482757568,0
3,0.8606058955192566,0.25948596000671387,-0.49342888593673706,-3.8696935176849365,0.7811500430107117,-1.2339856624603271,0
4,0.8743410706520081,0.25948596000671387,-0.42388594150543213,-6.286685466766357,-2.9913840293884277,4.193694114685059,0
5,0.8674734830856323,0.2631050944328308,-0.44218671321868896,-4.2264885902404785,-1.475529432296753,3.309951066970825,0
6,0.8674734830856323,0.2631050944328308,-0.4751281142234802,-3.4885685443878174,-4.102590560913086,-0.20210018754005432,0
7,0.8297017216682434,0.2631050944328308,-0.4641476273536682,-1.6966257095336914,-6.311008930206299,5.018238067626953,0
8,0.8228341341018677,0.24862854182720184,-0.5227100849151611,-7.494150638580322,-4.586274147033691,11.463550567626953,0
9,0.8468707203865051,0.27758166193962097,-0.48244839906692505,-15.95362377166748,-0.276724636554718,5.673228740692139,0
10,0.8365693092346191,0.2884390950202942,-0.48610857129096985,-2.525998592376709,3.14882755279541,1.2117184400558472,0
11,0.8365693092346191,0.2956773638725281,-0.4751281142234802,-0.8374293446540833,3.94943904876709,0.3873159885406494,0
12,0.8297017216682434,0.299296498298645,-0.49342888593673706,6.278528690338135,6.281728744506836,-1.537308931350708,0
13,0.8331354856491089,0.30291566252708435,-0.48610857129096985,5.696147441864014,5.017814636230469,-2.4840006828308105,0
14,0.8400030732154846,0.30291566252708435,-0.467807799577713,8.735682487487793,4.608677387237549,-2.2506463527679443,0
15,0.8434368968009949,0.3065347969532013,-0.4714679419994354,9.209464073181152,5.410275936126709,-2.0771448612213135,0
16,0.8365693092346191,0.299296498298645,-0.4970890283584595,4.293752193450928,4.2045392990112305,-1.8299133777618408,0
17,0.8400030732154846,0.3065347969532013,-0.4751281142234802,-2.193897247314453,2.375978469848633,-0.5494416356086731,0
18,0.8400030732154846,0.30291566252708435,-0.4714679419994354,0.2980647087097168,1.827150583267212,1.0450053215026855,0
19,0.8365693092346191,0.3065347969532013,-0.4714679419994354,0.30948829650878906,2.114363670349121,0.5722148418426514,0
20,0.8400030732154846,0.3137730658054352,-0.467807799577713,1.0637799501419067,2.3856682777404785,0.5396799445152283,0
21,0.8400030732154846,0.3137730658054352,-0.4641476273536682,0.5650864243507385,2.2523765563964844,0.13148579001426697,0
22,0.8434368968009949,0.3173922002315521,-0.4495070278644562,3.2542691230773926,3.293236255645752,-0.6388572454452515,0
23,0.8468707203865051,0.3246304988861084,-0.43852657079696655,6.153680801391602,4.673585891723633,-2.1648600101470947,0
24,0.8400030732154846,0.3137730658054352,-0.4641476273536682,5.670651912689209,4.4075398445129395,-1.6315014362335205,0
25,0.8468707203865051,0.3137730658054352,-0.4531671702861786,4.571776866912842,2.994861364364624,-1.1523913145065308,0
26,0.8468707203865051,0.3137730658054352,-0.4495070278644562,3.121980905532837,2.4401588439941406,-0.7013255953788757,0
27,0.8503044843673706,0.3173922002315521,-0.43852657079696655,3.370051383972168,1.5469239950180054,-0.30112510919570923,0
28,0.8537383079528809,0.3137730658054352,-0.4458468556404114,2.394843101501465,1.0812264680862427,0.5032216310501099,0
29,0.8468707203865051,0.3137730658054352,-0.4458468556404114,-0.8639675974845886,-0.14707279205322266,1.277411699295044,0
30,0.8468707203865051,0.3173922002315521,-0.44218671321868896,-1.2132205963134766,0.251151978969574,1.6071580648422241,0
31,0.8468707203865051,0.32101133465766907,-0.44218671321868896,-1.539919376373291,0.24163277447223663,1.9411424398422241,0
32,0.8503044843673706,0.3173922002315521,-0.4458468556404114,0.09947900474071503,0.23518270254135132,1.0667047500610352,0
33,0.8503044843673706,0.31015393137931824,-0.4531671702861786,0.098715640604496,0.2278568595647812,1.0137871503829956,0
34,0.8571720719337463,0.3173922002315521,-0.43852657079696655,0.14324496686458588,-0.1639605462551117,0.9703002572059631,0
35,0.8503044843673706,0.3137730658054352,-0.44218671321868896,0.9384140968322754,0.24908572435379028,0.9215008616447449,0
36,0.8537383079528809,0.3173922002315521,-0.4531671702861786,-0.6913695335388184,-1.3229637145996094,2.032390832901001,0
37,0.8468707203865051,0.3173922002315521,-0.4495070278644562,-1.455930233001709,-0.8906115293502808,1.1608649492263794,0
38,0.8468707203865051,0.31015393137931824,-0.4495070278644562,-1.3841427564620972,0.3216630518436432,0.30839380621910095,0
39,0.8503044843673706,0.3065347969532013,-0.4495070278644562,-0.5470008850097656,0.29293739795684814,0.6909507513046265,0
