Time,X1,X2,X3,Label
0,360.0,180.0,-1.27229739521,0
1,375.960660995,178.166675012,-1.66316237089,0
2,360.642220706,178.203143866,-0.86997796825,0
3,370.620790948,180.143017507,-1.35746879302,0
4,369.283401414,181.116709211,-1.30320801319,0
5,365.092078753,182.250737023,-1.19551431992,0
6,374.092078753,179.250737023,-1.48125498519,0
7,363.499656481,174.740976716,-1.25221448586,0
8,372.240925179,177.791456454,-1.64286716568,0
9,367.099539539,176.304577094,-1.58611415837,0
10,365.488146716,172.511618161,-1.36927377239,0
11,373.91144684,173.565946522,-1.56105345973,0
12,357.91144684,169.565946522,-1.07304198771,0
13,374.743213928,171.636039701,-1.45317874177,0
14,363.915060254,169.823355934,-1.04494689875,0
15,372.936368173,169.849793411,-1.403014524,0
16,372.528576109,170.012864672,-1.45998890647,0
17,358.884601884,166.839861319,-0.998030832441,0
18,381.620714418,170.818111852,-1.69656832832,0
19,365.620714418,165.818111852,-1.10819300674,0
20,372.256254212,165.367047781,-1.24630778035,0
21,384.518014057,160.757586689,-1.52722150932,0
22,361.518014057,163.757586689,-0.870849539898,0
23,375.248957561,163.476612533,-1.46491931399,0
24,375.424830728,161.132209376,-1.27057963154,0
25,371.415208447,159.681235467,-1.18896511197,0
26,378.256916778,163.964163092,-1.42788309951,0
27,365.256916778,160.964163092,-0.993652120846,0
28,381.293702921,161.346546774,-1.4502774124,0
29,370.695932775,157.19295518,-1.22384851937,0
30,374.31620062,152.983235452,-1.12032555797,1
31,381.338116281,151.389327789,-1.11077560942,0
32,372.449076058,148.370283106,-0.807001686997,0
33,384.84228277,156.207955885,-0.912660196292,0
34,380.633392151,150.788761194,-0.426017841686,0
35,385.668032569,153.708924531,-0.30845228336,0
36,392.036791446,154.006266149,-0.285798937725,0
37,388.184021417,153.144737737,-0.253808359657,0
38,388.813205456,151.031666019,0.0722742631688,0
39,386.843233232,144.749547943,0.4505172286,0
40,388.736113716,144.164278364,0.466734433245,0
41,397.185316055,142.309012277,0.659573110439,0
42,393.373864333,145.829078188,0.65622451277,0
43,399.731409967,145.694568378,0.761064818834,0
44,408.042735963,149.13398933,0.980990523613,0
45,420.058736691,164.189017444,1.08676572967,0
46,415.574813868,155.298328299,1.21026957475,0
47,417.102256696,159.489831251,1.51297988472,0
48,414.480401816,157.804010118,1.46703740744,0
49,417.34497525,159.048463343,1.46039716723,0
