Time,X1,X2,X3,Label
0,9.306111999999999,-1.6401778000000002,-2.3850740000000004,0
1,12.555044,-4.0128317000000004,-0.2805705,0
2,11.575814999999999,-9.04305,-3.325995,0
3,9.945364,-0.73277533,-2.1121347000000004,0
4,19.437775,-4.0319853,5.0393457,0
5,14.056208999999999,-2.6601076,-2.7298388,0
6,11.216685,-4.0678983,-0.41943422,0
7,14.123246,-4.3408375,-0.7282861999999999,0
8,9.29893,0.82584995,-2.3084592999999995,0
9,10.426599000000001,-3.0168437999999997,-1.4896424,0
10,10.10817,-2.1812675,-1.3483844999999999,0
11,11.056273,-2.8157308,-0.5702689000000001,0
12,15.631594,-1.4725837,-3.5486557,0
13,8.492084,-2.379986,-0.34521395,0
14,12.080992,-6.560262,-1.769764,0
15,9.818472,-0.5101146,-2.1288943,0
16,6.686856,-2.5356092,-1.7506104,0
17,12.593351,-1.654543,-2.7777228,0
18,10.036344,-0.8692449000000001,-1.7793406999999999,0
19,6.0667577,-0.9626186999999999,-0.5104139,0
20,14.29084,-3.220351,-1.9613001,0
21,10.551097,-3.3209074,-0.20395605,0
22,11.369914,-5.403862999999999,-2.4688708999999998,0
23,11.142465,0.35898063,-1.3603555,0
24,9.796924,-3.7590462999999996,-2.6316767000000003,0
25,10.857555,-2.06874,-1.6237177,0
26,13.910162,-1.9538182000000002,-1.5973815,0
27,17.099239999999998,-3.5818752999999997,-2.7801169999999997,0
28,6.2822356,-3.1365537999999997,-1.1688193,0
29,10.551097,-4.573075,-2.2509985,0
30,9.222315,-1.0775404,-1.3220483,0
31,13.393015,-4.3791447,-2.7705402,0
32,15.784822,-1.9442414000000001,-2.9644706000000003,0
33,7.4937015,0.13871406,-1.4417583999999999,0
34,11.997195,-6.289717700000001,-1.9660885,0
35,10.093803999999999,-0.45025957,-2.660407,0
36,10.721086,-3.6082115,-1.7194858,0
37,9.986066000000001,-1.6401778000000002,-1.6141409,0
38,15.080926999999999,-1.0057143,-2.1169233,0
39,17.125576000000002,0.16983868,-3.740192,0
40,7.728333500000001,-1.0272622,-1.3268367,0
41,11.398644,-9.181913,-2.1528362999999997,0
42,11.005996000000001,-0.35927990000000004,-2.9788357999999997,0
43,15.049802,-4.70715,-1.913416,0
44,14.992341,-3.6848261,-0.48407766,0
45,10.16563,1.6063597,-2.5766098,0
46,8.518419999999999,-3.2802059999999997,-1.6189293,0
47,9.725098,-1.6210241,-1.1496657,0
48,12.679542999999999,-6.770952,-7.7624507,0
49,12.523919,-9.41894,-2.2294507,0
50,10.3021,0.7947253000000001,-3.0195372000000003,0
51,11.446528,-4.3743563,-3.0099603999999998,0
52,9.969306,-1.2140098999999998,-1.934964,0
53,13.443292999999999,-3.2155626,-1.0802339,0
54,15.420903,-0.45983636,-3.2086792,0
55,8.264635,0.7875426999999999,-2.24621,0
56,11.276541,-6.5267434,-2.7801169999999997,0
57,11.432163000000001,0.002244564,-2.7154737,0
58,10.127322999999999,-4.1516953,-1.8344074000000001,0
59,9.188796,-2.9186816,-1.2430396000000001,0
60,12.035502000000001,-1.5970821000000002,-1.1592425,0
61,15.768063,-1.3600562,-3.467253,0
62,9.672425,-0.45744216,-3.029114,0
63,12.679542999999999,-7.130082000000001,-2.3587375,0
64,10.091411,4.0652046,-0.88869774,0
65,11.729045,-1.9849428,-1.5925931,0
66,14.724191000000001,-2.130989,-3.1512184,0
67,9.318083999999999,-1.5372271999999998,-2.2414217,0
68,12.255769,-6.612934599999999,-0.45055884,0
69,7.299771300000001,-2.5236382,-2.363526,0
70,12.255769,-4.518008,1.2876316,0
71,11.654824000000001,-6.8212304,-3.0626328,0
72,8.913464,0.6510732,-1.9756653000000002,0
73,13.177537,-6.3854856,-1.8272249,0
74,9.023597,-1.6449662,-2.660407,0
75,9.545532000000001,1.4196118999999998,-1.0850223,0
76,15.475970000000002,-0.19168578,-2.839972,0
77,10.752211,-3.4885015,-0.22550388,0
78,11.980435,-7.790882000000001,-1.1472715,0
79,8.324489999999999,-0.30421326,-1.6883612000000001,0
80,10.340407,-0.9267056999999999,-0.91503394,0
81,13.395408999999999,-2.2937949,-2.3132477000000002,0
82,12.641235,-2.1597195,-1.5830163000000002,0
83,10.67799,-6.9529114000000005,-2.042703,0
84,7.9222636,-2.3177369,-2.6268882999999996,0
85,11.520749,-1.120636,0.009127894000000001,0
86,10.869525999999999,-1.4270938999999998,-1.6931496,0
87,10.9844475,-3.6034230000000003,0.1503858,0
88,11.432163000000001,-4.489278,-0.08424597,0
89,11.070639,-0.490961,-2.4760535,0
90,10.704327000000001,-4.0966287,-1.5782279,0
91,15.0043125,-2.221969,-2.6939259,0
92,8.214356,-2.071134,-0.5128081,0
93,12.294075999999999,-7.699902499999999,-0.9701006,0
94,9.725098,-1.1589433,-2.6101289,0
95,16.237326,-3.0838813999999997,-0.13931261,0
96,12.167183999999999,-9.586534,-0.89109194,0
97,9.595811,0.83782095,-2.7968764,0
98,11.5255375,-2.5116673,-1.2813468000000001,0
99,16.883760000000002,-1.2235867,-2.8447603999999997,0
100,7.687632000000001,-0.38561612,-1.4633062,0
101,11.2933,-9.423728,-1.7889175,0
102,10.16563,-0.9338883,-2.6268882999999996,0
103,7.8743796,0.351798,-1.1113585,0
104,13.993959,-4.5467386,-3.9006035000000003,0
105,9.41864,0.43320087,-1.5949872999999999,0
106,11.89185,-5.7629933,-2.3276129,0
107,7.8360724,-1.9490298,-1.7194858,0
108,14.068179,-2.7439047999999997,-0.15607202,0
109,15.037831,-1.3504794,-2.2557869999999998,0
110,10.6181345,1.2927191999999998,-2.9453169999999997,0
111,10.381109,-2.7654526,-2.057068,0
112,15.023466,-2.7415106,-2.2773347000000004,0
113,7.958176600000001,-5.6744075,1.9484313000000002,0
114,10.828825,-7.426963300000001,-1.9732710999999998,0
115,9.552715,-0.16056114,-2.612523,0
